State,District,District Code,Mandal,Mandal Code,Village,Village (Native),Native Source,Village Code,Pincode,Category,Status
Andhra Pradesh,Sri Sathya Sai,754,Tadimarri,5338,(Shro) Thirumalapuram,(ష్రో) తిరుమలాపురం,transliterated,595183,515631,,
Andhra Pradesh,Guntur,506,Phirangipuram,5072,113 Thalluru,113 తాళ్ళూరు,authoritative,590214,522529,,
Andhra Pradesh,Alluri Sitharama Raju,745,Paderu,4847,14 Mile Stone,14వ మైలు రాయి,authoritative,584792,531024,,
Andhra Pradesh,Palnadu,751,Pedakurapadu,5057,75-Tyallur,75-త్యాల్లూరు,authoritative,590010,522436,,
Andhra Pradesh,Kakinada,746,Thondangi,4901,A. Kothapalle,ఎ. కొత్తపల్లె,authoritative,587324,533408,,
Andhra Pradesh,Kakinada,746,Rowthulapudi,4891,A. Mallavaram,ఎ. మల్లవరం,authoritative,587007,533406,,
Andhra Pradesh,Polavaram,791,Devipatnam,4885,A. Veeravaram,ఎ. వీరవరం,authoritative,586631,533354,,
Andhra Pradesh,Alluri Sitharama Raju,745,G.Madugula,4848,A.Bandaveedhi,ఎ. బండవీధి,authoritative,584868,531029,,
Andhra Pradesh,Eluru,748,Unguturu,4962,A.Gokavaram,అ.గోకవరం,transliterated,588338,534416,,
Andhra Pradesh,Kurnool,511,Kallur,5258,A.Gokulapadu,ఏ.గోకులపాడు,authoritative,593886,518467,,
Andhra Pradesh,Kurnool,511,Alur,5274,A.Gonehal,ఎ. గోనెహాల్,authoritative,594152,518395,,
Andhra Pradesh,West Godavari,523,Akividu,4975,A.I.Bheemavaram,అ.ఇ.భీమవరం,transliterated,588600,534235,,
Andhra Pradesh,Ntr,749,Atlapragada Konduru,4998,A.Konduru,అ.కొందురు,transliterated,588988,521226,,
Andhra Pradesh,Annamayya,753,Chowdepalle,5413,A.Kothakota,ఏ.కొత్తకోట,authoritative,596522,517257,,
Andhra Pradesh,Y.S.R. Kadapa,504,B.Kodur,5209,A.Kothapalle,అ.కొత్తపల్లె,transliterated,593041,516228,,
Andhra Pradesh,Alluri Sitharama Raju,745,Munchingi Puttu,4841,A.Kotturu,అ.కొట్టూరు,transliterated,583553,531040,,
Andhra Pradesh,Alluri Sitharama Raju,745,Peda Bayalu,4842,A.Kummariputtu,అ.కుమ్మరిపుట్టు,transliterated,583632,531040,,
Andhra Pradesh,Y.S.R. Kadapa,504,Pendlimarry,5232,A.Ramachandrapuram,అ.రామచంద్రపురం,transliterated,593444,516217,,
Andhra Pradesh,Kakinada,746,Thondangi,4901,A.V.Nagaram,అ.వ్.నగరమ్,transliterated,587328,533449,,
Andhra Pradesh,Prakasam,517,Kotha Patnam,5140,Aaluru,ఆలూరు,transliterated,912408,523182,,
Andhra Pradesh,Tirupati,752,Sullurpeta,5197,Abaka,అబక,transliterated,592749,524121,,
Andhra Pradesh,Bapatla,750,Vemuru,5087,Abbanagudavalli,అబ్బనగూడవల్లి,authoritative,590410,522324,,
Andhra Pradesh,Guntur,506,Thulluru,5053,Abbarajupalem,అబ్బరాజుపాలెం,authoritative,589963,522237,,
Andhra Pradesh,Annamayya,753,Rayachoti,5239,Abbavaram,అబ్బవరం,authoritative,593537,516269,,
Andhra Pradesh,Prakasam,517,Darsi,5114,Abbaya Palem,అబ్బాయా పాలెం,transliterated,590808,523304,,
Andhra Pradesh,Ananthapuramu,502,Gooty,5310,Abbedoddi,అబ్బెదొడ్డి,authoritative,594753,515401,,
Andhra Pradesh,Palnadu,751,Sattenapalli,5058,Abburu,అబ్బూరు,authoritative,590029,522402,,
Andhra Pradesh,Y.S.R. Kadapa,504,Badvel,5210,Abbusahebpeta,అబ్బూసాహెబ్ పేట,authoritative,593058,516227,,
Andhra Pradesh,Nandyal,755,Velugodu,5282,Abdullapuram,అబ్దుల్లాపురం,authoritative,594281,518533,,
Andhra Pradesh,Nandyal,755,Kolimigundla,5301,Abdullapuram,అబ్దుల్లాపురం,authoritative,594590,518123,,
Andhra Pradesh,Polavaram,791,Kunavaram,4731,Abicherla,అబిచర్ల,transliterated,579095,533347,,
Andhra Pradesh,Parvathipuram Manyam,743,Kurupam,4809,Abiri,అబిరి,transliterated,582026,535534,,
Andhra Pradesh,Srikakulam,519,Ganguvarisigadam,4797,Abothulapeta,అబోతులపేట,transliterated,581359,532168,,
Andhra Pradesh,Tirupati,752,Pakala,5396,Achamma Agraharam,అచ్చమ్మ అగ్రహారం,authoritative,596202,517112,,
Andhra Pradesh,West Godavari,523,Achanta,4981,Achanta,ఆచంట,authoritative,588688,534123,,
Andhra Pradesh,West Godavari,523,Achanta,4981,Achanta Vemavaram,ఆచంట వేమవరం,authoritative,588695,534267,,
Andhra Pradesh,Tirupati,752,Ozili,5189,Acharlaparlapalle,ఆచార్లపర్లపల్లె,transliterated,592451,524402,,
Andhra Pradesh,Eluru,748,Kaikaluru,5016,Achavaram,ఆచవరం,authoritative,589336,521333,,
Andhra Pradesh,Tirupati,752,Sullurpeta,5197,Achukatla,అచ్చుకట్ల,transliterated,592726,524123,,
Andhra Pradesh,Polavaram,791,Yetapaka,6063,Achuthapuram,అచ్యుతాపురం,authoritative,579074,533351,,
Andhra Pradesh,Sri Sathya Sai,754,Penukonda,5356,Adadakulapalle,ఆడదాకులపల్లె,transliterated,595434,515124,,
Andhra Pradesh,Alluri Sitharama Raju,745,Gudem Kotha Veedhi,4850,Adagarapalle,అదగరపల్లె,transliterated,585450,531133,,
Andhra Pradesh,Alluri Sitharama Raju,745,Koyyuru,4851,Adakula,అడకుల,transliterated,585688,531087,,
Andhra Pradesh,Alluri Sitharama Raju,745,Munchingi Puttu,4841,Adalaputtu,అదలపుత్తు,transliterated,583375,531040,,
Andhra Pradesh,Parvathipuram Manyam,743,Seethampeta,4770,Adali,అడలి,transliterated,580046,532443,,
Andhra Pradesh,Srikakulam,519,Palasa,4775,Adanikothuru,అదానికోతురు,transliterated,930879,532221,,
Andhra Pradesh,Tirupati,752,Doravarisatram,5196,Adapamudi,అడపముడి,transliterated,592703,524123,,
Andhra Pradesh,Y.S.R. Kadapa,504,Nandalur,5243,Adapur,అడపూరు,authoritative,593580,516150,,
